Dimension 		 Time Taken(seconds) 
1 			 2.8921754360198975 
2 			 3.443347454071045 
3 			 3.9420862197875977 
4 			 4.561533689498901 
5 			 4.889682769775391 
6 			 5.392258405685425 
7 			 5.854039430618286 
8 			 6.356859922409058 
9 			 6.847072124481201 
10 			 7.4113240242004395 
11 			 7.859943628311157 
12 			 8.33321237564087 
13 			 8.824334383010864 
14 			 9.273345947265625 
15 			 9.810670852661133 
16 			 10.311308145523071 
17 			 10.822757720947266 
18 			 11.660117626190186 
19 			 11.965263366699219 
20 			 12.368051052093506 
21 			 12.881955862045288 
22 			 13.379592657089233 
23 			 13.819761037826538 
24 			 14.519222021102905 
25 			 14.716054677963257 
26 			 15.333660364151001 
27 			 15.73563265800476 
28 			 16.385714054107666 
29 			 16.83880043029785 
30 			 17.702173471450806 
31 			 18.267146348953247 
32 			 18.562021017074585 
33 			 18.745913982391357 
34 			 19.50687837600708 
35 			 19.816511869430542 
36 			 21.28832769393921 
37 			 20.782447576522827 
38 			 20.766497373580933 
39 			 21.350879430770874 
40 			 21.837243795394897 
41 			 22.161252737045288 
42 			 22.69132947921753 
43 			 23.326382637023926 
44 			 23.809533834457397 
45 			 24.260610342025757 
46 			 25.04053258895874 
47 			 25.242640495300293 
48 			 25.605289936065674 
49 			 26.56999135017395 
50 			 26.57045841217041 
51 			 26.948217630386353 
52 			 27.484513759613037 
53 			 27.8561532497406 
54 			 28.44995903968811 
55 			 29.000368118286133 
56 			 29.730409860610962 
57 			 30.0903537273407 
58 			 30.448267221450806 
59 			 30.92850112915039 
60 			 31.577083349227905 
61 			 31.975279808044434 
62 			 32.26478290557861 
63 			 32.587838888168335 
64 			 33.33412456512451 
65 			 33.72781991958618 
66 			 34.41033053398132 
67 			 34.6825008392334 
68 			 35.165087938308716 
69 			 35.70842099189758 
70 			 36.31491684913635 
71 			 37.16114258766174 
72 			 37.526344776153564 
73 			 38.13987755775452 
74 			 38.23729205131531 
75 			 38.63187313079834 
76 			 38.96375393867493 
77 			 39.27687358856201 
78 			 40.045917987823486 
79 			 40.97161626815796 
80 			 41.49515962600708 
81 			 41.97661805152893 
82 			 42.75484609603882 
83 			 42.983524799346924 
84 			 44.254616498947144 
85 			 44.044989585876465 
86 			 45.65646147727966 
87 			 45.85504388809204 
88 			 46.254631757736206 
89 			 45.200682401657104 
90 			 45.89126896858215 
91 			 46.587533950805664 
92 			 46.71889901161194 
93 			 47.15089774131775 
94 			 47.933287620544434 
95 			 48.11791729927063 
96 			 49.029731035232544 
97 			 49.419174671173096 
98 			 50.12016487121582 
99 			 51.26104927062988 
100 			 50.91728091239929 
